2019-11-23 14:42:07,b'SPY SPX QQQ ESF NQF RTYF ZBF GCF NDX RUT AAPL NFLX AMZN TSLA FB MSFT DIA NDX IWM QCOM GDX',1811
2019-11-23 14:42:04,b'Apple finally made new AirPods fit people ear time make cheaper AirPods',3649
2019-11-23 14:41:43,b'SPY SPX QQQ ESF NQF RTYF ZBF GCF NDX RUT AAPL NFLX AMZN TSLA FB MSFT DIA NDX IWM QCOM GDX',1811
2019-11-23 14:40:29,b'SPY SPX QQQ ESF NQF RTYF ZBF GCF NDX RUT AAPL NFLX AMZN TSLA FB MSFT DIA NDX IWM QCOM GDX',1811
2019-11-23 14:39:46,b'write Top Momentum Stocks Affected Cash Rotation Q3 Find',663
2019-11-23 14:39:34,b'Media empire like Walt Disney spending billion compete streaming battle Netflix Apple Amazon',127
2019-11-23 14:37:21,b'Apple finally made new AirPods fit people ear time make cheaper AirPods',93
2019-11-23 14:35:16,b'10 Things Know Apple finally made new AirPods fit people ear time make th',158
2019-11-23 14:33:23,b'Apple finally made new AirPods fit people ear time make cheaper AirPods',220
2019-11-23 14:31:21,b'Wall St Solver Power Rankings AAPL Apple Inc AMZN Inc MSFT Microsof',249
2019-11-23 14:30:12,b'ACTIVE TRADERS Try one FREE trading TSLA AAPL BABA AMD GS FB AMZN GOOGL NVDA',494
2019-11-23 14:29:28,b'Apple finally made new AirPods fit people ear time make cheaper AirPods',1237
2019-11-23 14:28:06,b'Apple finally made new AirPods fit people ear time make cheaper AirPods',3649
2019-11-23 14:26:07,b'SPX AAPL Investors left wonder stock market rally resting rolling',986
2019-11-23 14:26:04,b'@guardian aapl tsla always jellypaws DRAMA #Trump Dramatize u #Mazars tax return US wan na see',84
2019-11-23 14:24:26,b'stock MSFT amp AAPL combined market cap larger Russell 2000 entire German stock',20
2019-11-23 14:22:13,b'Wan na Pro could ipad Pro new one #RT #Contest #Giveaway #Apple #AppleNews',402
2019-11-23 14:21:30,b'Benefit Trend Momentum QQQ QQQ AAPL ALGN AMAT AMD AMGN CHTR',8428
2019-11-23 14:21:08,b'could pro #MacBook Pro owned one #RT #Giveaway #win #contest #Apple #AI #appleNews',402
2019-11-23 14:20:06,b'Give MacBook second monitor DUEX Pro portable dual monitor AAPL',1889
2019-11-23 14:18:56,b'Market Wizards Jack Schwager AAPL TSLA FB NFLX SGY REN CRMD TTOO',1136
2019-11-23 14:10:20,b'Weekend Review VIDEO 1124 TLT GLD SPY IWM KRE #QQQ SMH AMD MU NVDA LRCX INTC',2573
2019-11-23 14:08:44,b'Googles Stadia Faces Uphill Battle Microsoft Apple @themotleyfool #stocks GOOGL GOOG MSFT AAPL',500
2019-11-23 14:07:19,b'@Geck01 Think people appreciated importance last Xmas washout bigger 1987 index',7283
2019-11-23 14:06:42,b'Weekend Review VIDEO 1124 TLT GLD SPY IWM KRE #QQQ SMH AMD MU NVDA LRCX INTC',336
2019-11-23 14:05:22,b'POWER COMPOUNDING 122 starting 2000 2500 week challenge Swing Day Option Trading Ale',470
2019-11-23 14:04:07,b'VirnetX share plummeted much 50 Friday following report company damage award Apple va',2573
2019-11-23 14:03:55,b'1122 Watchlist Results 122 starting 2000 2500 week challenge Swing Day Option Trading Alerts',2573
2019-11-23 14:01:22,b'1122 Watchlist Results 122 starting 2000 2500 week challenge Swing Day Option Trading Alerts',470
2019-11-23 14:01:21,b'Filter #options seasonal strength helpful find trade idea JPM AAPL FB',1884
2019-11-23 13:58:17,b'new MacBook Pro best work laptop Apple ever made still fall behind Windows rival two ke',220
2019-11-23 13:58:07,b'new MacBook Pro best work laptop Apple ever made still fall behind Windows rival two ke',3649
2019-11-23 13:57:28,b'new MacBook Pro best work laptop Apple ever made still fall behind Windows rival two ke',93
2019-11-23 13:55:46,b'10 Things Know new MacBook Pro best work laptop Apple ever made still fall behind Windo',158
2019-11-23 13:54:40,b'iPhone Pro Max go two full day recharge crazy good aapl',1080
2019-11-23 13:54:24,b'new MacBook Pro best work laptop Apple ever made still fall behind Windows rival two ke',1237
2019-11-23 13:53:34,b'new MacBook Pro best work laptop Apple ever made still fall behind Windows rival two ke',3649
2019-11-23 13:53:25,b'@trucharts long time careful AAPL historically kept extremely high RSI good bill market',12
2019-11-23 13:53:18,b'Learn #business new MacBook Pro best work laptop Apple ever mad',110
2019-11-23 13:53:06,b'AAPL NEW ARTICLE Apple 65 Key Dow Surge Get latest AAPL related',70
2019-11-23 13:52:43,b'could pro #MacBook Pro owned one #RT #Giveaway #win #contest #Apple #AI #appleNews',813
2019-11-23 13:52:31,b'#aapl APPLE stock LEGAL STOCK PRICE AMIPULATION Net income revenue flat several quart EPS flat',33
2019-11-23 13:51:06,b'Check new MacBook Pro best work laptop Apple ever made still fall behind Windows',1137
2019-11-23 13:51:05,b'Wan na Pro could ipad Pro new one #RT #Contest #Giveaway #Apple #AppleNews',813
2019-11-23 13:50:32,b'new MacBook Pro best work laptop Apple ever made still fall behind Windows rival two ke',1219
2019-11-23 13:48:55,b'Investing Dummies Eric Tyson SPY AAPL GOOGL MSFT XOM BRK',1136
2019-11-23 13:47:58,b'VirnetX share plummeted much 50 Friday following report company damage award Apple',238
2019-11-23 13:45:32,b'Apple granted patent automotive floor AAPL',1889
2019-11-23 13:43:30,b'@JeffMacke @carlquintanilla @TeflonGeek never used AAPL Glass',493
2019-11-23 13:41:42,b'stock made 70 DOW rally last 30 day aapl dis msft unh',3844
2019-11-23 13:37:19,b'AAPL hourly first bearish setup week Hold low push back higher 26424 ATH test break 25828 25',153
2019-11-23 13:36:03,b'AAPL hourly first bearish setup week Hold low push back higher 26424 ATH test break',4169
2019-11-23 13:34:21,b'true smart move AAPL part first loss best loss',555
2019-11-23 13:34:06,b'TSLA NVDA AAPL BA FB BYND Happy Friday #tradernap DM want compound account',75804
2019-11-23 13:30:11,b'ACTIVE TRADERS Try one FREE trading TSLA AAPL JPM GS FB AMZN GOOGL NVDA',494
2019-11-23 13:29:33,b'Celebrating 100 extraordinary game Apple Arcade iPhone iPad Apple TV Mac Find everything action',64
2019-11-23 13:28:03,b'Tim Cook promise keep fighting DACA user privacy new interview AAPL',1889
2019-11-23 13:25:55,b'@KGeorgieva @IMFNews Remember Galileo big fat Know Better Gang plan #FREEUighur apo g msft tsla aapl',84
2019-11-23 13:25:06,b'trusted team side make difference investing tried OptionAlarm yet Fre',2776
2019-11-23 13:23:35,b'AAPL engaged long 101119 daily focus list using Breakout price pattern Nov 220 call paid',13827
2019-11-23 13:13:33,b'Apple Inc AAPL surprised market Q1 result Bain capital changed rating Hold Apple Inc AAPL',16
2019-11-23 13:10:01,b'AMZN AAPL Berkshire Takes Short Sellers Bet Furniture Retailer via',216
2019-11-23 13:03:56,b'Explosive Stock Trading Strategies Samir Elias DIA SPX SPY FAS FAZ AAPL',1136
2019-11-23 13:03:01,b'Apple AAPL Elliott wave analysis Apple stock AAPL Long short WCX',2177
2019-11-23 13:01:06,b'251 Profit Packed Option Trades Yearly Delivered Inbox Daily FREE AMZN GOOGL NFLX FB AAPL',494
2019-11-23 13:00:42,b'Zacks Brokerages Expect Apple Inc AAPL Post Quarterly Sales 8770 Billion',921
2019-11-23 12:59:11,b'RT Americas largest company MSFT AAPL GOOGL AMZN marijuana legal state Indiana people beaten',980
2019-11-23 12:53:32,b'Trading Ideas Elliott wave analysis Apple stock AAPL FREE trade week via',134039
2019-11-23 12:51:03,b'Elliott wave analysis Apple stock AAPL #AAPL chart',1807
2019-11-23 12:36:14,b'technical analysis EURUSD USDJPY SPX AAPL Gold etc one single section',55757
2019-11-23 12:35:03,b'President Xi Chinese Communist cant silence Congress Hong Kong Human Rights Democracy Act passed',1811
2019-11-23 12:31:47,b'AAPL leader need take little timeout suspect pullback 20dma going ge',2573
